Name,Industry,Symbol,LTP,SMA50,SMA200,RSI.14.,MACD.12.26.9.,Stochastic.20.3.,MFI.14.,ADX.14.,P.E,Debt.to.Equity,EPS.Rs.,BVPS.Rs.,Net.Profit.Rs..Cr.,DPS.Rs.,NPM_per,ROE_per,YTD_per,X1.Week_per,X1.Month_per,X3.Months_per.,X6.Months_per.,X1.Year_per,X2.Years_per,X3.Years_per,peg,year_inc
NTPC,Power,NTPC.NS,169.95,168.12,151.98,48.48,1.63,39.39,50.01,14.37,8.12,1.33,16.62,132.06,15940,7,0,12.58,36.62,-1.99,2.94,7.06,14.64,26.55,86.96,44.82,0.305838041,1991
Sun Pharma,Healthcare,SUNPHARMA.NS,1018.65,954.81,897.66,60.52,18.16,50.61,59.09,43.32,-2286.88,0.2,-0.4,102.48,3405,10,0,-0.4,20.45,0.5,4.34,11.38,15.02,27.58,98.18,145.43,-82.91805656,1991
Nestle,Fast Moving Consumer Goods,NESTLEIND.NS,20097.9,19440.01,18358.92,53.31,210.95,53.78,43.36,21.51,0,0.02,222.46,216.19,-,200,0,102.89,1.99,-1.09,6.18,2.11,23.92,3.27,19.36,40.59,0,1990
P and G,Fast Moving Consumer Goods,PGHH.NS,14004.15,14157.07,14267.68,49.36,-36.75,50.93,38.78,13.83,0,0,200.79,220.05,-,235,0,91.25,-9.41,0.53,1.32,-4.48,5.45,-7.26,29.05,25.48,0,1990
Coal India,Oil Gas & Consumable Fuels,COALINDIA.NS,234.9,234.48,200.09,43.72,2.89,13.64,49.16,24.1,10.07,0,18.18,26.54,17387,17,0,68.47,60.84,-8.17,-0.61,5.38,36.81,47.69,84.82,16.78,0.211155378,2017
Info Edge,Consumer Services,NAUKRI.NS,4147.8,3982.23,4169.83,56.67,53.12,58.99,67.47,17.9,6.54,0,689.2,1085.59,10686,13,0,63.85,-25.62,6.82,10.22,-6.34,16.93,-36.51,6.78,57.2,-0.179129006,1990
TCS,Information Technology,TCS.NS,3355.35,3135.55,3370.47,70.92,54.39,95.23,62.46,16.72,35.84,0,104.34,210.86,38449,43,0,49.48,-10.25,4.33,8.27,-1.1,-0.64,-5.65,25.65,54.31,-6.343362832,1990
Marico,Fast Moving Consumer Goods,MARICO.NS,493.4,521.25,510.62,34.44,-6.37,2.8,40.56,18.07,55.84,0.03,9.02,23.64,1255,9.25,0,38.14,-3.75,-1.76,-3.54,-3.56,-0.44,-10.76,33.1,38.46,-5.189591078,1988
IRCTC,Consumer Services,IRCTC.NS,728.15,724.36,711.18,44.61,6.4,11.54,62.84,26.66,0,0,8.3,23.55,-,3.5,0,35.22,-12.46,-4.35,0.73,8.98,11.38,-20.94,160.3,292.24,0,2018
Infosys,Information Technology,INFY.NS,1602.8,1473.6,1574.73,67.91,29.45,95.4,53.81,18.76,37.77,0,50.49,164.78,22146,31,0,30.63,-15.09,6.06,8.72,0.4,7.64,-10.57,41.41,127.7,-3.573320719,1990
INDUS TOWERS,Telecommunication,INDUSTOWER.NS,193.05,194.15,209.91,52.01,-0.29,71.83,60.04,16.25,9.4,0.25,23.62,82.29,6373,11,0,28.71,-22.25,0.1,2.09,-1.4,1.37,-34.8,6.45,-15.01,-0.270114943,2015
MphasiS,Information Technology,MPHASIS.NS,2036.45,2057.35,2519.12,50.8,-19.71,51.66,51.84,19.42,51.22,0.08,65.93,236.8,1430,46,0,27.77,-40.05,4.45,-3.29,-13.48,-17.82,-41.05,53.57,124.5,-1.24774665,1990
